"","Gene.ID","Gene.Name","SubType","Main.Biotype"
"16109","ENSMUSG00000106551","Gm1969","processed_pseudogene","Pseudogenes"
"16110","ENSMUSG00000105437","Gm42450","lincRNA","Processed transcripts"
"16111","ENSMUSG00000105926","Gm43386","TEC","To be Experimentally Confirmed"
"16112","ENSMUSG00000105439","A230098N10Rik","lincRNA","Processed transcripts"
"16113","ENSMUSG00000025746","Il6","protein_coding","Protein Coding Genes"
"16114","ENSMUSG00000025747","Tyms","protein_coding","Protein Coding Genes"
"16115","ENSMUSG00000104667","Gm4961","lincRNA","Processed transcripts"
"16116","ENSMUSG00000086815","3110082J24Rik","protein_coding","Protein Coding Genes"
"16117","ENSMUSG00000044576","Garem2","protein_coding","Protein Coding Genes"
"16118","ENSMUSG00000025745","Hadha","protein_coding","Protein Coding Genes"
"16119","ENSMUSG00000059447","Hadhb","protein_coding","Protein Coding Genes"
"16120","ENSMUSG00000088113","Mir1960","miRNA","Processed transcripts"
"16121","ENSMUSG00000067642","Adgrf3","protein_coding","Protein Coding Genes"
"16122","ENSMUSG00000075703","Selenoi","protein_coding","Protein Coding Genes"
"16123","ENSMUSG00000085099","Gm16288","processed_pseudogene","Pseudogenes"
"16124","ENSMUSG00000073102","Drc1","protein_coding","Protein Coding Genes"
"16125","ENSMUSG00000106311","Gm43755","sense_intronic","Processed transcripts"
"16126","ENSMUSG00000062372","Otof","protein_coding","Protein Coding Genes"
"16127","ENSMUSG00000029182","1700001C02Rik","protein_coding","Protein Coding Genes"
"16128","ENSMUSG00000053194","Cib4","protein_coding","Protein Coding Genes"
"16129","ENSMUSG00000088327","Gm25666","snRNA","Processed transcripts"
"16130","ENSMUSG00000106300","Gm42765","antisense","Processed transcripts"
"16131","ENSMUSG00000053214","Gm9899","processed_transcript","Processed transcripts"
"16132","ENSMUSG00000049265","Kcnk3","protein_coding","Protein Coding Genes"
"16133","ENSMUSG00000029175","Slc35f6","protein_coding","Protein Coding Genes"
"16134","ENSMUSG00000093710","Mir5625","miRNA","Processed transcripts"
"16135","ENSMUSG00000029177","Cenpa","protein_coding","Protein Coding Genes"
"16136","ENSMUSG00000029168","Dpysl5","protein_coding","Protein Coding Genes"
"16137","ENSMUSG00000106173","Gm42764","sense_intronic","Processed transcripts"
"16138","ENSMUSG00000029166","Mapre3","protein_coding","Protein Coding Genes"
"16139","ENSMUSG00000106229","Gm19409","sense_intronic","Processed transcripts"
"16140","ENSMUSG00000087258","Gm15461","antisense","Processed transcripts"
"16141","ENSMUSG00000038828","Tmem214","protein_coding","Protein Coding Genes"
"16142","ENSMUSG00000107086","Gm43808","TEC","To be Experimentally Confirmed"
"16143","ENSMUSG00000029165","Agbl5","protein_coding","Protein Coding Genes"
"16144","ENSMUSG00000107201","5930420M18Rik","TEC","To be Experimentally Confirmed"
"16145","ENSMUSG00000038803","Ost4","protein_coding","Protein Coding Genes"
"16146","ENSMUSG00000029163","Emilin1","protein_coding","Protein Coding Genes"
"16147","ENSMUSG00000029162","Khk","protein_coding","Protein Coding Genes"
"16148","ENSMUSG00000029161","Cgref1","protein_coding","Protein Coding Genes"
"16149","ENSMUSG00000006638","Abhd1","processed_transcript","Processed transcripts"
"16150","ENSMUSG00000045302","Preb","protein_coding","Protein Coding Genes"
"16151","ENSMUSG00000006642","Tcf23","protein_coding","Protein Coding Genes"
"16152","ENSMUSG00000006641","Slc5a6","protein_coding","Protein Coding Genes"
"16153","ENSMUSG00000013622","Atraid","protein_coding","Protein Coding Genes"
"16154","ENSMUSG00000013629","Cad","protein_coding","Protein Coding Genes"
"16155","ENSMUSG00000029151","Slc30a3","protein_coding","Protein Coding Genes"
"16156","ENSMUSG00000104299","Gm9924","TEC","To be Experimentally Confirmed"
"16157","ENSMUSG00000053856","Dnajc5g","protein_coding","Protein Coding Genes"
"16158","ENSMUSG00000062077","Trim54","protein_coding","Protein Coding Genes"
"16159","ENSMUSG00000107265","Gm15469","antisense","Processed transcripts"
"16160","ENSMUSG00000038676","Ucn","protein_coding","Protein Coding Genes"
"16161","ENSMUSG00000107283","Mpv17","protein_coding","Protein Coding Genes"
"16162","ENSMUSG00000101678","Gm29609","protein_coding","Protein Coding Genes"
"16163","ENSMUSG00000106864","Gtf3c2","protein_coding","Protein Coding Genes"
"16164","ENSMUSG00000029145","Eif2b4","protein_coding","Protein Coding Genes"
"16165","ENSMUSG00000029146","Snx17","protein_coding","Protein Coding Genes"
"16166","ENSMUSG00000043059","Zfp513","protein_coding","Protein Coding Genes"
"16167","ENSMUSG00000029147","Ppm1g","protein_coding","Protein Coding Genes"
"16168","ENSMUSG00000106717","Gm42798","TEC","To be Experimentally Confirmed"
"16169","ENSMUSG00000055424","Gm9970","protein_coding","Protein Coding Genes"
"16170","ENSMUSG00000029148","Nrbp1","protein_coding","Protein Coding Genes"
"16171","ENSMUSG00000029149","Krtcap3","protein_coding","Protein Coding Genes"
"16172","ENSMUSG00000038564","Ift172","protein_coding","Protein Coding Genes"
"16173","ENSMUSG00000038552","Fndc4","protein_coding","Protein Coding Genes"
"16174","ENSMUSG00000059434","Gckr","protein_coding","Protein Coding Genes"
"16175","ENSMUSG00000106935","Gm19457","processed_pseudogene","Pseudogenes"
"16176","ENSMUSG00000106866","Gm43659","processed_pseudogene","Pseudogenes"
"16177","ENSMUSG00000106950","4930478M09Rik","TEC","To be Experimentally Confirmed"
"16178","ENSMUSG00000062761","Zfp512","protein_coding","Protein Coding Genes"
"16179","ENSMUSG00000107120","Gm43059","TEC","To be Experimentally Confirmed"
"16180","ENSMUSG00000029138","4930548H24Rik","protein_coding","Protein Coding Genes"
"16181","ENSMUSG00000107142","4930566F21Rik","antisense","Processed transcripts"
"16182","ENSMUSG00000064037","Gpn1","protein_coding","Protein Coding Genes"
"16183","ENSMUSG00000053134","Supt7l","protein_coding","Protein Coding Genes"
"16184","ENSMUSG00000029141","Slc4a1ap","protein_coding","Protein Coding Genes"
"16185","ENSMUSG00000107352","Gm43660","lincRNA","Processed transcripts"
"16186","ENSMUSG00000107355","AI839979","lincRNA","Processed transcripts"
"16187","ENSMUSG00000107015","2900076G11Rik","TEC","To be Experimentally Confirmed"
"16188","ENSMUSG00000106918","Mrpl33","protein_coding","Protein Coding Genes"
"16189","ENSMUSG00000105617","Gm43809","processed_transcript","Processed transcripts"
"16190","ENSMUSG00000029136","Rbks","protein_coding","Protein Coding Genes"
"16191","ENSMUSG00000099301","Mir3473e","miRNA","Processed transcripts"
"16192","ENSMUSG00000052139","Babam2","protein_coding","Protein Coding Genes"
"16193","ENSMUSG00000107151","Gm43810","TEC","To be Experimentally Confirmed"
"16194","ENSMUSG00000088514","Gm24436","misc_RNA","Processed transcripts"
"16195","ENSMUSG00000107140","Gm43811","TEC","To be Experimentally Confirmed"
"16196","ENSMUSG00000106894","Gm17130","antisense","Processed transcripts"
"16197","ENSMUSG00000102759","Gm10463","TEC","To be Experimentally Confirmed"
"16198","ENSMUSG00000029135","Fosl2","protein_coding","Protein Coding Genes"
"16199","ENSMUSG00000096091","Gm26335","snRNA","Processed transcripts"
"16200","ENSMUSG00000107220","Gm9555","processed_pseudogene","Pseudogenes"
"16201","ENSMUSG00000029134","Plb1","protein_coding","Protein Coding Genes"
"16202","ENSMUSG00000081200","Gm15615","processed_pseudogene","Pseudogenes"
"16203","ENSMUSG00000107078","Gm36840","antisense","Processed transcripts"
"16204","ENSMUSG00000107036","Gm7596","lincRNA","Processed transcripts"
"16205","ENSMUSG00000107211","Gm5864","processed_pseudogene","Pseudogenes"
"16206","ENSMUSG00000014956","Ppp1cb","protein_coding","Protein Coding Genes"
"16207","ENSMUSG00000107197","Gm43312","TEC","To be Experimentally Confirmed"
"16208","ENSMUSG00000107083","Gm43313","TEC","To be Experimentally Confirmed"
"16209","ENSMUSG00000080753","Gm15613","processed_pseudogene","Pseudogenes"
"16210","ENSMUSG00000085234","Gm15614","antisense","Processed transcripts"
"16211","ENSMUSG00000107316","Gm42964","processed_pseudogene","Pseudogenes"
"16212","ENSMUSG00000106835","Gm43812","transcribed_unprocessed_pseudogene","Pseudogenes"
"16213","ENSMUSG00000107277","Gm10461","TEC","To be Experimentally Confirmed"
"16214","ENSMUSG00000014932","Yes1","protein_coding","Protein Coding Genes"
"16215","ENSMUSG00000107018","Gm43694","TEC","To be Experimentally Confirmed"
"16216","ENSMUSG00000106680","Gm43852","TEC","To be Experimentally Confirmed"
"16217","ENSMUSG00000082305","Gm2420","transcribed_unprocessed_pseudogene","Pseudogenes"
"16218","ENSMUSG00000023452","Pisd","protein_coding","Protein Coding Genes"
"16219","ENSMUSG00000093574","Gm20671","protein_coding","Protein Coding Genes"
"16220","ENSMUSG00000105647","Gm43695","processed_transcript","Processed transcripts"
"16221","ENSMUSG00000054280","Prr14l","protein_coding","Protein Coding Genes"
"16222","ENSMUSG00000105429","Gm43692","TEC","To be Experimentally Confirmed"
"16223","ENSMUSG00000106654","Gm2623","processed_pseudogene","Pseudogenes"
"16224","ENSMUSG00000037426","Depdc5","protein_coding","Protein Coding Genes"
"16225","ENSMUSG00000089080","Gm24003","snRNA","Processed transcripts"
"16226","ENSMUSG00000105929","Gm43693","TEC","To be Experimentally Confirmed"
"16227","ENSMUSG00000018965","Ywhah","protein_coding","Protein Coding Genes"
"16228","ENSMUSG00000107046","Gm43849","processed_pseudogene","Pseudogenes"
"16229","ENSMUSG00000093885","Rpl35a-ps5","processed_pseudogene","Pseudogenes"
"16230","ENSMUSG00000011034","Slc5a1","protein_coding","Protein Coding Genes"
"16231","ENSMUSG00000081022","Gm15936","processed_pseudogene","Pseudogenes"
"16232","ENSMUSG00000081618","5033423K11Rik","transcribed_processed_pseudogene","Pseudogenes"
"16233","ENSMUSG00000037379","Spon2","protein_coding","Protein Coding Genes"
"16234","ENSMUSG00000037373","Ctbp1","protein_coding","Protein Coding Genes"
"16235","ENSMUSG00000107161","Gm43850","processed_pseudogene","Pseudogenes"
"16236","ENSMUSG00000092275","Gm20465","lincRNA","Processed transcripts"
"16237","ENSMUSG00000079562","Maea","protein_coding","Protein Coding Genes"
"16238","ENSMUSG00000037355","Uvssa","protein_coding","Protein Coding Genes"
"16239","ENSMUSG00000029112","Nkx1-1","protein_coding","Protein Coding Genes"
"16240","ENSMUSG00000107248","Gm43851","lincRNA","Processed transcripts"
"16241","ENSMUSG00000037339","Fam53a","protein_coding","Protein Coding Genes"
"16242","ENSMUSG00000097271","Gm9903","protein_coding","Protein Coding Genes"
"16243","ENSMUSG00000004642","Slbp","protein_coding","Protein Coding Genes"
"16244","ENSMUSG00000106834","Gm10459","TEC","To be Experimentally Confirmed"
"16245","ENSMUSG00000019295","Tmem129","protein_coding","Protein Coding Genes"
"16246","ENSMUSG00000037313","Tacc3","protein_coding","Protein Coding Genes"
"16247","ENSMUSG00000106971","Gm42965","processed_pseudogene","Pseudogenes"
"16248","ENSMUSG00000106896","G630022F23Rik","TEC","To be Experimentally Confirmed"
"16249","ENSMUSG00000054252","Fgfr3","protein_coding","Protein Coding Genes"
"16250","ENSMUSG00000005299","Letm1","protein_coding","Protein Coding Genes"
"16251","ENSMUSG00000059064","Gm10059","processed_pseudogene","Pseudogenes"
"16252","ENSMUSG00000107149","Gm30708","processed_pseudogene","Pseudogenes"
"16253","ENSMUSG00000057406","Nsd2","protein_coding","Protein Coding Genes"
"16254","ENSMUSG00000029111","Nelfa","protein_coding","Protein Coding Genes"
"16255","ENSMUSG00000098830","Mir7024","miRNA","Processed transcripts"
"16256","ENSMUSG00000107043","Gm42849","lincRNA","Processed transcripts"
"16257","ENSMUSG00000106688","Gm42851","lincRNA","Processed transcripts"
"16258","ENSMUSG00000070858","Gm1673","protein_coding","Protein Coding Genes"
"16259","ENSMUSG00000106743","Gm42847","TEC","To be Experimentally Confirmed"
"16260","ENSMUSG00000048142","Nat8l","protein_coding","Protein Coding Genes"
"16261","ENSMUSG00000045102","Poln","protein_coding","Protein Coding Genes"
"16262","ENSMUSG00000106868","Gm19798","processed_pseudogene","Pseudogenes"
"16263","ENSMUSG00000106771","Gm43459","processed_pseudogene","Pseudogenes"
"16264","ENSMUSG00000106902","4930557J02Rik","antisense","Processed transcripts"
"16265","ENSMUSG00000079555","Haus3","protein_coding","Protein Coding Genes"
"16266","ENSMUSG00000077454","Gm25918","snRNA","Processed transcripts"
"16267","ENSMUSG00000037235","Mxd4","protein_coding","Protein Coding Genes"
"16268","ENSMUSG00000106702","Gm42846","antisense","Processed transcripts"
"16269","ENSMUSG00000037224","Zfyve28","protein_coding","Protein Coding Genes"
"16270","ENSMUSG00000086291","Gm15513","sense_intronic","Processed transcripts"
"16271","ENSMUSG00000106888","Gm42848","antisense","Processed transcripts"
"16272","ENSMUSG00000109572","Cfap99","protein_coding","Protein Coding Genes"
"16273","ENSMUSG00000107006","Gm43105","processed_pseudogene","Pseudogenes"
"16274","ENSMUSG00000107287","Gm43458","lincRNA","Processed transcripts"
"16275","ENSMUSG00000029110","Rnf4","protein_coding","Protein Coding Genes"
"16276","ENSMUSG00000037210","Fam193a","protein_coding","Protein Coding Genes"
"16277","ENSMUSG00000107227","Gm42559","TEC","To be Experimentally Confirmed"
"16278","ENSMUSG00000098062","Gm26931","processed_pseudogene","Pseudogenes"
"16279","ENSMUSG00000106678","Gm43457","TEC","To be Experimentally Confirmed"
"16280","ENSMUSG00000059866","Tnip2","protein_coding","Protein Coding Genes"
"16281","ENSMUSG00000054520","Sh3bp2","protein_coding","Protein Coding Genes"
"16282","ENSMUSG00000088332","Gm22847","snRNA","Processed transcripts"
"16283","ENSMUSG00000029106","Add1","protein_coding","Protein Coding Genes"
"16284","ENSMUSG00000099082","Mir7036b","miRNA","Processed transcripts"
"16285","ENSMUSG00000107128","Gm42867","TEC","To be Experimentally Confirmed"
"16286","ENSMUSG00000001082","Mfsd10","protein_coding","Protein Coding Genes"
"16287","ENSMUSG00000036693","Nop14","protein_coding","Protein Coding Genes"
"16288","ENSMUSG00000085166","Gm15522","antisense","Processed transcripts"
"16289","ENSMUSG00000052783","Grk4","protein_coding","Protein Coding Genes"
"16290","ENSMUSG00000107246","Gm42560","antisense","Processed transcripts"
"16291","ENSMUSG00000080556","Mir467g","miRNA","Processed transcripts"
"16292","ENSMUSG00000029104","Htt","protein_coding","Protein Coding Genes"
"16293","ENSMUSG00000051246","Msantd1","protein_coding","Protein Coding Genes"
"16294","ENSMUSG00000029101","Rgs12","protein_coding","Protein Coding Genes"
"16295","ENSMUSG00000093097","Mir3097","miRNA","Processed transcripts"
"16296","ENSMUSG00000107040","Gm43791","antisense","Processed transcripts"
"16297","ENSMUSG00000029102","Hgfac","protein_coding","Protein Coding Genes"
"16298","ENSMUSG00000044716","Dok7","protein_coding","Protein Coding Genes"
"16299","ENSMUSG00000029103","Lrpap1","protein_coding","Protein Coding Genes"
"16300","ENSMUSG00000045318","Adra2c","protein_coding","Protein Coding Genes"
"16301","ENSMUSG00000106762","4930478P22Rik","lincRNA","Processed transcripts"
"16302","ENSMUSG00000055944","E130018O15Rik","lincRNA","Processed transcripts"
"16303","ENSMUSG00000067438","Hmx1","protein_coding","Protein Coding Genes"
"16304","ENSMUSG00000103608","4930442P19Rik","TEC","To be Experimentally Confirmed"
"16305","ENSMUSG00000106970","Gm43377","TEC","To be Experimentally Confirmed"
"16306","ENSMUSG00000036596","Cpz","protein_coding","Protein Coding Genes"
"16307","ENSMUSG00000106928","Gm43860","TEC","To be Experimentally Confirmed"
"16308","ENSMUSG00000083907","Plk-ps1","processed_pseudogene","Pseudogenes"
"16309","ENSMUSG00000029097","Trmt44","protein_coding","Protein Coding Genes"
"16310","ENSMUSG00000055061","4931431C16Rik","antisense","Processed transcripts"
"16311","ENSMUSG00000029098","Acox3","protein_coding","Protein Coding Genes"
"16312","ENSMUSG00000029096","Htra3","protein_coding","Protein Coding Genes"
"16313","ENSMUSG00000036553","Sh3tc1","protein_coding","Protein Coding Genes"
"16314","ENSMUSG00000087703","Gm15650","antisense","Processed transcripts"
"16315","ENSMUSG00000029095","Ablim2","protein_coding","Protein Coding Genes"
"16316","ENSMUSG00000029094","Afap1","protein_coding","Protein Coding Genes"
"16317","ENSMUSG00000082692","H2af-ps","processed_pseudogene","Pseudogenes"
"16318","ENSMUSG00000029093","Sorcs2","protein_coding","Protein Coding Genes"
"16319","ENSMUSG00000043430","Psapl1","protein_coding","Protein Coding Genes"
"16320","ENSMUSG00000098884","Mir7689","miRNA","Processed transcripts"
"16321","ENSMUSG00000039563","2210406O10Rik","lincRNA","Processed transcripts"
"16322","ENSMUSG00000029198","Grpel1","protein_coding","Protein Coding Genes"
"16323","ENSMUSG00000029196","Tada2b","protein_coding","Protein Coding Genes"
"16324","ENSMUSG00000050677","Ccdc96","protein_coding","Protein Coding Genes"
"16325","ENSMUSG00000029192","Tbc1d14","protein_coding","Protein Coding Genes"
"16326","ENSMUSG00000106797","Gm42936","processed_transcript","Processed transcripts"
"16327","ENSMUSG00000029190","D5Ertd579e","protein_coding","Protein Coding Genes"
"16328","ENSMUSG00000107168","Gm42507","TEC","To be Experimentally Confirmed"
"16329","ENSMUSG00000089407","Gm24878","snRNA","Processed transcripts"
"16330","ENSMUSG00000089197","Gm25767","snoRNA","Processed transcripts"
"16331","ENSMUSG00000060708","Bloc1s4","protein_coding","Protein Coding Genes"
"16332","ENSMUSG00000107081","Gm43701","antisense","Processed transcripts"
"16333","ENSMUSG00000115557","Gm40318","unitary_pseudogene","Pseudogenes"
"16334","ENSMUSG00000055302","Mrfap1","protein_coding","Protein Coding Genes"
"16335","ENSMUSG00000029119","Man2b2","protein_coding","Protein Coding Genes"
"16336","ENSMUSG00000029120","Ppp2r2c","protein_coding","Protein Coding Genes"
"16337","ENSMUSG00000087487","Ppp2r2cos","antisense","Processed transcripts"
"16338","ENSMUSG00000106934","Gm42506","TEC","To be Experimentally Confirmed"
"16339","ENSMUSG00000039474","Wfs1","protein_coding","Protein Coding Genes"
"16340","ENSMUSG00000063646","Jakmip1","protein_coding","Protein Coding Genes"
"16341","ENSMUSG00000097686","Gm26647","antisense","Processed transcripts"
"16342","ENSMUSG00000117286","Gm1043","protein_coding","Protein Coding Genes"
"16343","ENSMUSG00000088707","Gm25551","rRNA","Processed transcripts"
"16344","ENSMUSG00000113373","Jakmip1","protein_coding","Protein Coding Genes"
"16345","ENSMUSG00000029121","Crmp1","protein_coding","Protein Coding Genes"
"16346","ENSMUSG00000029122","Evc","protein_coding","Protein Coding Genes"
"16347","ENSMUSG00000107307","Gm42935","processed_pseudogene","Pseudogenes"
"16348","ENSMUSG00000050248","Evc2","protein_coding","Protein Coding Genes"
"16349","ENSMUSG00000057290","Gm15732","processed_pseudogene","Pseudogenes"
"16350","ENSMUSG00000029123","Stk32b","protein_coding","Protein Coding Genes"
"16351","ENSMUSG00000062329","Cytl1","protein_coding","Protein Coding Genes"
"16352","ENSMUSG00000107131","Gm43763","lincRNA","Processed transcripts"
"16353","ENSMUSG00000048450","Msx1","protein_coding","Protein Coding Genes"
"16354","ENSMUSG00000106718","Gm20052","lincRNA","Processed transcripts"
"16355","ENSMUSG00000107126","Gm40289","lincRNA","Processed transcripts"
"16356","ENSMUSG00000107129","Gm43762","TEC","To be Experimentally Confirmed"
"16357","ENSMUSG00000029125","Stx18","protein_coding","Protein Coding Genes"
"16358","ENSMUSG00000107276","Gm42858","TEC","To be Experimentally Confirmed"
"16359","ENSMUSG00000029126","Nsg1","protein_coding","Protein Coding Genes"
"16360","ENSMUSG00000029127","Zbtb49","protein_coding","Protein Coding Genes"
"16361","ENSMUSG00000067367","Lyar","protein_coding","Protein Coding Genes"
"16362","ENSMUSG00000067365","Tmem128","protein_coding","Protein Coding Genes"
"16363","ENSMUSG00000051596","Otop1","protein_coding","Protein Coding Genes"
"16364","ENSMUSG00000097029","Gm26560","antisense","Processed transcripts"
"16365","ENSMUSG00000039358","Drd5","protein_coding","Protein Coding Genes"
"16366","ENSMUSG00000106932","4930487D11Rik","lincRNA","Processed transcripts"
"16367","ENSMUSG00000005107","Slc2a9","protein_coding","Protein Coding Genes"
"16368","ENSMUSG00000089646","Gm15796","processed_pseudogene","Pseudogenes"
"16369","ENSMUSG00000005103","Wdr1","protein_coding","Protein Coding Genes"
"16370","ENSMUSG00000064419","Gm22249","snRNA","Processed transcripts"
"16371","ENSMUSG00000086422","4930421P07Rik","processed_pseudogene","Pseudogenes"
"16372","ENSMUSG00000046572","Zfp518b","protein_coding","Protein Coding Genes"
"16373","ENSMUSG00000077273","Gm22779","snRNA","Processed transcripts"
"16374","ENSMUSG00000039315","Clnk","protein_coding","Protein Coding Genes"
"16375","ENSMUSG00000079528","Clnkos","antisense","Processed transcripts"
"16376","ENSMUSG00000106924","Gm42857","processed_pseudogene","Pseudogenes"
"16377","ENSMUSG00000106794","Gm40293","lincRNA","Processed transcripts"
"16378","ENSMUSG00000107031","Gm40292","lincRNA","Processed transcripts"
"16379","ENSMUSG00000106876","Gm43456","processed_pseudogene","Pseudogenes"
"16380","ENSMUSG00000087845","Gm25505","misc_RNA","Processed transcripts"
"16381","ENSMUSG00000107030","Gm5291","processed_pseudogene","Pseudogenes"
"16382","ENSMUSG00000106851","4930421C12Rik","TEC","To be Experimentally Confirmed"
"16383","ENSMUSG00000106679","Gm42524","lincRNA","Processed transcripts"
"16384","ENSMUSG00000106741","4930513D17Rik","lincRNA","Processed transcripts"
"16385","ENSMUSG00000077522","Gm25377","snoRNA","Processed transcripts"
"16386","ENSMUSG00000107134","Gm42528","TEC","To be Experimentally Confirmed"
"16387","ENSMUSG00000051022","Hs3st1","protein_coding","Protein Coding Genes"
"16388","ENSMUSG00000083261","Gm7816","processed_pseudogene","Pseudogenes"
"16389","ENSMUSG00000107070","Gm35191","lincRNA","Processed transcripts"
"16390","ENSMUSG00000082938","Gm2810","processed_pseudogene","Pseudogenes"
"16391","ENSMUSG00000089393","Gm23022","snRNA","Processed transcripts"
"16392","ENSMUSG00000106865","4930519E07Rik","TEC","To be Experimentally Confirmed"
"16393","ENSMUSG00000106895","Gm4754","processed_pseudogene","Pseudogenes"
"16394","ENSMUSG00000107135","Gm43806","processed_pseudogene","Pseudogenes"
"16395","ENSMUSG00000029128","Rab28","protein_coding","Protein Coding Genes"
"16396","ENSMUSG00000049691","Nkx3-2","protein_coding","Protein Coding Genes"
"16397","ENSMUSG00000061755","Bod1l","protein_coding","Protein Coding Genes"
"16398","ENSMUSG00000107259","Gm5298","processed_pseudogene","Pseudogenes"
"16399","ENSMUSG00000098264","Mir6414","miRNA","Processed transcripts"
"16400","ENSMUSG00000106884","Gm20156","processed_pseudogene","Pseudogenes"
"16401","ENSMUSG00000067285","Gm16223","protein_coding","Protein Coding Genes"
"16402","ENSMUSG00000106813","Gm7181","processed_pseudogene","Pseudogenes"
"16403","ENSMUSG00000106622","Gm5554","processed_pseudogene","Pseudogenes"
"16404","ENSMUSG00000107193","Gm43700","lincRNA","Processed transcripts"
"16405","ENSMUSG00000106501","Gm42711","lincRNA","Processed transcripts"
"16406","ENSMUSG00000105416","Gm42553","TEC","To be Experimentally Confirmed"
"16407","ENSMUSG00000105087","Gm42552","TEC","To be Experimentally Confirmed"
"16408","ENSMUSG00000085720","Gm7854","antisense","Processed transcripts"
"16409","ENSMUSG00000039782","Cpeb2","protein_coding","Protein Coding Genes"
"16410","ENSMUSG00000105374","Gm42551","TEC","To be Experimentally Confirmed"
"16411","ENSMUSG00000105326","6030400A10Rik","TEC","To be Experimentally Confirmed"
"16412","ENSMUSG00000104846","Gm43020","lincRNA","Processed transcripts"
"16413","ENSMUSG00000107244","Gm43699","lincRNA","Processed transcripts"
"16414","ENSMUSG00000104691","Gm43021","lincRNA","Processed transcripts"
"16415","ENSMUSG00000061535","C1qtnf7","protein_coding","Protein Coding Genes"
"16416","ENSMUSG00000104547","Gm43022","TEC","To be Experimentally Confirmed"
"16417","ENSMUSG00000087290","Gm15866","antisense","Processed transcripts"
"16418","ENSMUSG00000104912","Gm43023","TEC","To be Experimentally Confirmed"
"16419","ENSMUSG00000039765","Cc2d2a","protein_coding","Protein Coding Genes"
"16420","ENSMUSG00000039753","Fbxl5","protein_coding","Protein Coding Genes"
"16421","ENSMUSG00000104728","Gm42462","TEC","To be Experimentally Confirmed"
"16422","ENSMUSG00000104823","Gm43182","TEC","To be Experimentally Confirmed"
"16423","ENSMUSG00000106609","Gm43181","TEC","To be Experimentally Confirmed"
"16424","ENSMUSG00000104701","Gm42555","lincRNA","Processed transcripts"
"16425","ENSMUSG00000029082","Bst1","protein_coding","Protein Coding Genes"
"16426","ENSMUSG00000029084","Cd38","protein_coding","Protein Coding Genes"
"16427","ENSMUSG00000086479","Gm16014","sense_intronic","Processed transcripts"
"16428","ENSMUSG00000087281","Gm16015","antisense","Processed transcripts"
"16429","ENSMUSG00000033036","Gm7879","protein_coding","Protein Coding Genes"
"16430","ENSMUSG00000093859","Gm7882","processed_pseudogene","Pseudogenes"
"16431","ENSMUSG00000059565","Gm5292","processed_pseudogene","Pseudogenes"
"16432","ENSMUSG00000106573","Gm43183","TEC","To be Experimentally Confirmed"
"16433","ENSMUSG00000105831","Gm43184","TEC","To be Experimentally Confirmed"
"16434","ENSMUSG00000048373","Fgfbp1","protein_coding","Protein Coding Genes"
"16435","ENSMUSG00000029086","Prom1","protein_coding","Protein Coding Genes"
"16436","ENSMUSG00000105264","Gm42716","processed_transcript","Processed transcripts"
"16437","ENSMUSG00000072962","Gm16401","antisense","Processed transcripts"
"16438","ENSMUSG00000105048","Gm42966","TEC","To be Experimentally Confirmed"
"16439","ENSMUSG00000105373","Gm42429","TEC","To be Experimentally Confirmed"
"16440","ENSMUSG00000105353","Gm42428","lincRNA","Processed transcripts"
"16441","ENSMUSG00000105263","Gm42427","TEC","To be Experimentally Confirmed"
"16442","ENSMUSG00000046985","Tapt1","protein_coding","Protein Coding Genes"
"16443","ENSMUSG00000105519","E430021H15Rik","TEC","To be Experimentally Confirmed"
"16444","ENSMUSG00000105503","Gm42982","antisense","Processed transcripts"
"16445","ENSMUSG00000105149","Gm42983","TEC","To be Experimentally Confirmed"
"16446","ENSMUSG00000104784","Gm42984","antisense","Processed transcripts"
"16447","ENSMUSG00000106394","Gm42698","processed_pseudogene","Pseudogenes"
"16448","ENSMUSG00000104541","Gm43114","TEC","To be Experimentally Confirmed"
"16449","ENSMUSG00000104923","Gm5865","processed_pseudogene","Pseudogenes"
"16450","ENSMUSG00000104800","Gm36017","lincRNA","Processed transcripts"
"16451","ENSMUSG00000039706","Ldb2","protein_coding","Protein Coding Genes"
"16452","ENSMUSG00000105282","Gm42981","TEC","To be Experimentally Confirmed"
"16453","ENSMUSG00000105136","8030487O14Rik","TEC","To be Experimentally Confirmed"
"16454","ENSMUSG00000106332","Gm43506","TEC","To be Experimentally Confirmed"
"16455","ENSMUSG00000105648","Gm43505","TEC","To be Experimentally Confirmed"
"16456","ENSMUSG00000105861","Gm43508","TEC","To be Experimentally Confirmed"
"16457","ENSMUSG00000104894","Gm43507","antisense","Processed transcripts"
"16458","ENSMUSG00000104990","Gm43504","TEC","To be Experimentally Confirmed"
"16459","ENSMUSG00000105347","Gm43503","TEC","To be Experimentally Confirmed"
"16460","ENSMUSG00000105224","Gm3364","sense_intronic","Processed transcripts"
"16461","ENSMUSG00000104851","E030026E10Rik","TEC","To be Experimentally Confirmed"
"16462","ENSMUSG00000106603","Gm43509","TEC","To be Experimentally Confirmed"
"16463","ENSMUSG00000106656","Gm42750","lincRNA","Processed transcripts"
"16464","ENSMUSG00000062496","4930431F12Rik","lincRNA","Processed transcripts"
"16465","ENSMUSG00000067331","Gm10205","pseudogene","Pseudogenes"
"16466","ENSMUSG00000029092","D5Ertd615e","lincRNA","Processed transcripts"
"16467","ENSMUSG00000104781","Gm43303","lincRNA","Processed transcripts"
